"wknr_2021","wkname_2021","land","landid","wbmighintergrund_anteil","wbmighintergrund_absolut","mighintergrund_anteil","mighintergrund_absolut","wahlberechtigte","waehler","gueltige_1","gueltige_2","cdu_1","spd_1","linke_1","gruene_1","csu_1","fdp_1","afd_1","bevdichte","absolventen_hochschulreife","max1","max2","difference","vp","z","wk_gewinner_party","wk_gewinner_share","wk_gewinner_mh","wk_zweiter","wk_zweiter_party","wk_zweiter_share","wk_zweiter_mh","Quelle","Abgerufen.am","indicator_vp","mh_total"
1,"Flensburg – Schleswig","Schleswig-Holstein",1,0.0690103843808174,15921.9198722839,0.159004345536232,45403.8727760315,228471,171914,170318,170465,68120,47711,12144,17911,0,11147,10583,137.1,34.2,68120,47711,20409,-4487.08012771606,"Habeck Robert","Grüne","28,10",0,"Nicolaisen Petra","CDU","23,40",0,"","",0,0
2,"Nordfriesland – Dithmarschen Nord","Schleswig-Holstein",1,0.0550384819507599,11759.1319580078,0.138636037707329,35674.5862312317,186568,139194,137897,138071,62256,34685,7102,13026,0,11105,8117,84.6,26.8,62256,34685,27571,-15811.8680419922,"Damerow Astrid","CDU","30,40",0,"Jensen Jens Peter","SPD","27,80",0,"https://www.spdhusum.de/2021/07/30/fragen-an-jens-peter-jensen/","1.2.2023 10:38:00",0,0
3,"Steinburg – Dithmarschen Süd","Schleswig-Holstein",1,0.0570476725697517,9846.82526016235,0.110086016356945,23133.0439338684,176636,132017,130883,130878,54812,34219,7176,8791,0,14440,10006,110.5,32.4,54812,34219,20593,-10746.1747398376,"Helfrich Mark","CDU","29,20",0,"Dr Thissen Karin","SPD","29,20",0,"https://karin-thissen.de/#ueber-mich","1.2.2023 10:41:00",0,0
4,"Rendsburg-Eckernförde","Schleswig-Holstein",1,0.057185959070921,11548.5941734314,0.111669480800629,27013.76146698,200831,157354,156102,156267,66625,45070,8074,13978,0,10077,10656,116.4,35.8,66625,45070,21555,-10006.4058265686,"Rix Sönke","SPD","30,80",0,"Dr Wadephul Johann David","CDU","29,70",0,"","",0,0
5,"Kiel","Schleswig-Holstein",1,0.117607921361923,25380.7598342896,0.239554852247238,65205.7820892334,204650,153273,151679,152069,46560,46991,11114,21743,0,11363,9283,1879.2,42.5,46991,46560,431,24949.7598342896,"Stein Jens Mathias","SPD","29,50",0,"Amtsberg Luise ","Grüne","28,10",0,"","",1,0
6,"Plön – Neumünster","Schleswig-Holstein",1,0.0919066071510315,16841.1677742004,0.146712154150009,31985.0830459595,174937,131713,130489,130514,53109,37728,7009,11736,0,9379,10223,171.2,37,53109,37728,15381,1460.16777420044,"Dr Klinck Kristian","SPD ","31,40",0,"Bernstein Melanie","CDU","27,90",0,"","",0.9999,0
7,"Pinneberg","Schleswig-Holstein",1,0.107051946222782,26147.6867485046,0.21860146522522,68284.8912467957,238533,187715,186095,186372,73816,56460,11270,15379,0,14441,14729,475.9,38.3,73816,56460,17356,8791.68674850464,"Dr Stegner Ralf","SPD","31,20",0,"Dr von Abercron Ernst Michael","CDU","26,20",0,"","",1,0
8,"Segeberg – Stormarn-Mitte","Schleswig-Holstein",1,0.0735926106572151,18733.4900360107,0.150254026055336,47441.0948257446,247296,193280,191772,191945,78824,52434,10838,16004,0,15617,15682,240.5,37.7,78824,52434,26390,-7656.50996398926,"Bergt Bengt Axel","SPD","32,00",0,"Storjohann Gero","CDU","27,90",0,"","",0,0
9,"Ostholstein – Stormarn-Nord","Schleswig-Holstein",1,0.0349197126924992,6886.78233337402,0.0798724889755249,18286.3875274658,181522,138439,137289,137295,56996,42232,6062,9539,0,10047,10790,143.9,31.5,56996,42232,14764,-7877.21766662598,"Hagedorn Betti","SPD","33,70",0,"Gädechens Ingo Adolf Augustus","CDU","30,30",0,"","",0,0
10,"Herzogtum Lauenburg – Stormarn-Süd","Schleswig-Holstein",1,0.0938970819115639,24517.4402008057,0.161910697817802,51823.4369850159,244930,193334,191765,191971,75737,52171,9785,18688,0,15775,17435,236.8,41.6,75737,52171,23566,951.440200805664,"Dr Scheer Ni","SPD","31,00",0,"Dr Peters Thomas","CDU","26,60",0,"https://www.abgeordnetenwatch.de/profile/thomas-peters","1.2.2023 10:44:00",0.1166,0
11,"Lübeck","Schleswig-Holstein",1,0.0958816558122635,17066.181022644,0.232583269476891,53732.646938324,181638,130961,128733,129794,45432,43578,0,16785,0,8312,11137,580,38,45432,43578,1854,15212.181022644,"Klüssendorf Tim","SPD","34,10",0,"Dr Schmidtke Claudia","CDU","21,80",0,"","",1,0
12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I","Mecklenburg-Vorpommern",2,0.0325966253876686,7464.76296234131,0.0986950471997261,27412.9213275909,216800,157071,155102,155411,49733,34267,26655,5837,0,7470,24764,73.9,36.3,49733,34267,15466,-8001.23703765869,"Alabali-Radovan Reem","SPD","29,40",1,"Monstadt Dietrich","CDU","20,70",0,"","",0,1
13,"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I","Mecklenburg-Vorpommern",2,0.0358703546226025,7013.79029273987,0.0779528617858887,18009.2543506622,205876,146768,144838,145111,43453,34705,23433,5858,0,8290,25262,63.3,33.4,43453,34705,8748,-1734.20970726013,"Junge Frank Michael","SPD","35,20",0,"Borchardt Simone","CDU","18,20",0,"","",0,0
14,"Rostock – Landkreis Rostock II","Mecklenburg-Vorpommern",2,0.036723654717207,8628.42205238342,0.0874928683042526,24114.3797740936,222913,164016,162239,162322,47923,29056,40202,8333,0,7368,23785,278,44.1,47923,40202,7721,907.422052383423,"Zschau Katrin","SPD","27,00",0,"Dr Bartsch Dietmar Gerhard","LINKE","18,20",0,"","",1,0
15,"Vorpommern-Rügen – Vorpommern-Greifswald I","Mecklenburg-Vorpommern",2,0.0174322910606861,4360.14799499512,0.0666831806302071,19673.6267967224,240887,169528,167662,167412,73746,19515,26650,5081,0,5229,32173,84.7,30,73746,32173,41573,-37212.8520050049,"Kassautzki An Kathari","SPD","24,30",0,"Günther Georg","CDU","20,40",0,"https://www.georgguenther.de/leben/","1.2.2023 10:45:00",0,0
16,"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II","Mecklenburg-Vorpommern",2,0.0211952663958073,4836.09220695496,0.051237128674984,13631.913225174,226039,156965,154628,154813,48269,21493,29462,3898,0,8909,36273,53.8,34.5,48269,36273,11996,-7159.90779304504,"von Malottki Erik","SPD","24,80",0,"Komning Enrico","AfD","24,30",0,"","",0,0
17,"Mecklenburgische Seenplatte II – Landkreis Rostock III","Mecklenburg-Vorpommern",2,0.0210412051528692,4436.61563301086,0.0543418824672699,13455.5575370789,212099,144239,142376,142441,53538,22401,24728,4739,0,6633,26199,40,34.8,53538,26199,27339,-22902.3843669891,"Arlt Johannes","SPD","31,10",0,"Schielke-Ziesing Ulrike","AfD","21,60",0,"","",0,0
18,"Hamburg-Mitte","Hamburg",3,0.204738761109907,53113.046471902,0.418622799234226,149629.105384069,243543,175731,174015,174293,42149,53795,24083,22368,0,11202,12728,3043.7,53.9,53795,42149,11646,41467.046471902,"Droßmann Falko","SPD ","33,20",0,"Muja Manuel","Grüne","26,00",0,"https://hafencityzeitung.com/wir-brauchen-jetzt-einen-generationswechsel/","1.2.2023 10:48:00",1,0
19,"Hamburg-Altona","Hamburg",3,0.145571137486402,28078.3517091402,0.297644650831674,79101.820098391,185944,146090,144929,145226,37575,41947,19704,20817,0,12482,7425,3438.8,53.9,41947,37575,4372,23706.3517091402,"Heitmann Linda","Grüne","29,70",0,"Dr Bartke Matthias","SPD","28,60",0,"","",1,0
20,"Hamburg-Eimsbüttel","Hamburg",3,0.123970259020678,23233.5352234313,0.253478025224394,65453.0914966508,192399,156013,154730,155203,44416,48920,16123,23220,0,10537,8777,5225.5,53.9,48920,44416,4504,18729.5352234313,"Dr Steffen Till Bejamin","Grüne","29,80",0,"Annen Niels","SPD","29,60",1,"","",1,1
21,"Hamburg-Nord","Hamburg",3,0.102369380554954,21315.3262593621,0.209311399617113,60049.1482040135,217226,178760,177363,177874,59441,54695,13277,24065,0,14911,9701,2514.4,53.9,59441,54695,4746,16569.3262593621,"Martin Dorothee Katja Julia","SPD","30,70",0,"Beck Kathari Barbara Maria","Grüne","25,70",0,"","",1,0
22,"Hamburg-Wandsbek","Hamburg",3,0.13899695708379,32714.7671786596,0.284202634342502,92163.4451599483,235513,172574,170867,171301,50822,59086,15673,12112,0,12007,16208,4149.9,53.9,59086,50822,8264,24450.7671786596,"Özoğuz Saliha Aydan","SPD","38,70",1,"Hoppermann Franziska Christi Brigitte ","CDU","19,20",0,"","",1,1
23,"Hamburg-Bergedorf – Harburg","Hamburg",3,0.195347074820462,48199.7335353886,0.399419918535408,135787.409830954,222031,155758,153768,154221,43274,53446,16382,11903,0,8039,16688,1087.1,53.9,53446,43274,10172,38027.7335353886,"Hakverdi Metin","SPD","39,30",1,"Schneider Uwe Günther","CDU","16,90",0,"Annahme durch Namen","",1,1
24,"Aurich – Emden","Niedersachsen",4,0.0496907755732536,9799.37211227417,0.124900877475739,30074.7643432617,191541,142676,139584,141071,38531,69231,9403,9787,0,6882,0,171.2,30.9,69231,38531,30700,-20900.6278877258,"Saathoff Johann","SPD","52,80",0,"Dr Kleen Joachim Lübbo","CDU","17,70",0,"https://www.abgeordnetenwatch.de/profile/joachim-kleen","1.2.2023 10:54:00",0,0
25,"Unterems","Niedersachsen",4,0.105226427316666,25256.7789573669,0.24483223259449,79179.0629882812,235234,176342,174789,174952,87406,48959,7726,8255,0,7758,13387,123.7,25.4,87406,48959,38447,-13190.2210426331,"Connemann Gitta","CDU","44,40",1,"Troff-Schaffarzyk Anja","SPD","28,50",0,"","",0,1
26,"Friesland – Wilhelmshaven – Wittmund","Niedersachsen",4,0.0665573999285698,12702.8297424316,0.135942742228508,31477.3894424438,189344,139153,137343,137596,44537,54504,8127,7542,0,8074,11392,168.7,29.5,54504,44537,9967,2735.82974243164,"Möller Siemtje ","SPD","45,40",0,"Janssen Anne","CDU","22,00",0,"","",1,0
27,"Oldenburg – Ammerland","Niedersachsen",4,0.0738943591713905,17797.0721702576,0.15583024919033,45649.634262085,226253,175967,174170,174681,52598,63235,14081,19827,0,10635,11592,352.6,41.6,63235,52598,10637,7160.07217025757,"Rohde Dennis","SPD","38,20",0,"Menge Susanne","Grüne","20,40",0,"","",1,0
