wknr_2021;wkme_2021;land;z;wk_gewinner_party;wk_gewinner_share;wk_gewinner_mh;wk_zweiter;wk_zweiter_party;wk_zweiter_share;wk_zweiter_mh;Quelle;Abgerufen am
1;Flensburg â€“ Schleswig;Schleswig-Holstein;Habeck Robert;Grüne;28,10;0;Nicolaisen Petra;CDU;23,40;0;;
2;Nordfriesland â€“ Dithmarschen Nord;Schleswig-Holstein;Damerow Astrid;CDU;30,40;0;Jensen Jens Peter;SPD;27,80;0;https://www.spdhusum.de/2021/07/30/fragen-an-jens-peter-jensen/;1.2.2023 10:38:00
3;Steinburg â€“ Dithmarschen SÃ¼d;Schleswig-Holstein;Helfrich Mark;CDU;29,20;0;Dr Thissen Karin;SPD;29,20;0;https://karin-thissen.de/#ueber-mich;1.2.2023 10:41:00
4;Rendsburg-EckernfÃ¶rde;Schleswig-Holstein;Rix Sönke;SPD;30,80;0;Dr Wadephul Johann David;CDU;29,70;0;;
5;Kiel;Schleswig-Holstein;Stein Jens Mathias;SPD;29,50;0;Amtsberg Luise ;Grüne;28,10;0;;
6;PlÃ¶n â€“ NeumÃ¼nster;Schleswig-Holstein;Dr Klinck Kristian;SPD ;31,40;0;Bernstein Melanie;CDU;27,90;0;;
7;Pinneberg;Schleswig-Holstein;Dr Stegner Ralf;SPD;31,20;0;Dr von Abercron Ernst Michael;CDU;26,20;0;;
8;Segeberg â€“ Stormarn-Mitte;Schleswig-Holstein;Bergt Bengt Axel;SPD;32,00;0;Storjohann Gero;CDU;27,90;0;;
9;Ostholstein â€“ Stormarn-Nord;Schleswig-Holstein;Hagedorn Betti;SPD;33,70;0;Gädechens Ingo Adolf Augustus;CDU;30,30;0;;
10;Herzogtum Lauenburg â€“ Stormarn-SÃ¼d;Schleswig-Holstein;Dr Scheer Ni;SPD;31,00;0;Dr Peters Thomas;CDU;26,60;0;https://www.abgeordnetenwatch.de/profile/thomas-peters;1.2.2023 10:44:00
11;LÃ¼beck;Schleswig-Holstein;Klüssendorf Tim;SPD;34,10;0;Dr Schmidtke Claudia;CDU;21,80;0;;
12;Schwerin â€“ Ludwigslust-Parchim I â€“ Nordwestmecklenburg I;Mecklenburg-Vorpommern;Alabali-Radovan Reem;SPD;29,40;1;Monstadt Dietrich;CDU;20,70;0;;
13;Ludwigslust-Parchim II â€“ Nordwestmecklenburg II â€“ Landkreis Rostock I;Mecklenburg-Vorpommern;Junge Frank Michael;SPD;35,20;0;Borchardt Simone;CDU;18,20;0;;
